fecha,MIN(dp.precio),AVG(dp.precio),MAX(dp.precio),AVG(wd.vel_km_h),MAX(wd.racha_max_km_h)
2019-05-30,41.9,52.41333341598511,59.47,9.576000022888184,39.96
2019-05-31,48.76,52.869998931884766,56.28,9.792000007629394,38.88
2019-06-01,44.57,52.75545467029918,58.22,8.640000009536744,30.96
2019-06-02,40.51,47.8174999554952,58.73,6.299999952316284,46.08
2019-06-03,48.1,53.414999643961586,59.01,11.99999968210856,90
2019-06-04,43.2,49.411250273386635,57.72,11.807999801635741,56.88
2019-06-05,38.89,45.327083110809326,58.76,9,36
2019-06-06,33.58,43.82416661580404,56.85,12.6,78.12
2019-06-07,26.73,41.634583155314125,57.53,8.92800006866455,51.12
2019-06-08,42.29,46.25208314259847,56.03,6.984000015258789,65.88
2019-06-09,37,43.298332850138344,51.37,11.376000022888183,51.84
2019-06-10,37,44.73708327611288,50.64,8.352000045776368,45
2019-06-11,41.1,45.36291694641113,53.07,12.869999885559082,69.12
2019-06-12,43.75,48.20416673024496,51.22,5.471999979019165,24.84
2019-06-13,40.01,46.404999574025474,50.94,10.152000045776367,42.84
2019-06-14,40.01,46.322499910990395,51.2,10.871999931335449,43.92
2019-06-15,40.01,45.566250006357826,54.12,10.368000030517578,42.12
2019-06-16,41.63,46.67291657129923,54.64,10.8,43.92
2019-06-17,45.94,49.18999973932902,53.07,10.439999961853028,47.16
2019-06-18,38.13,46.60249996185303,53.89,9.990000009536743,52.92
2019-06-19,40.01,46.99166679382324,52.33,7.992000007629395,41.04
2019-06-20,41.77,46.567916552225746,51,10.655999946594239,47.16
2019-06-21,41.87,46.72249984741211,50.03,11.08799991607666,46.08
2019-06-22,42.51,46.18874979019165,49.86,9.28799991607666,42.84
2019-06-23,35,42.607499758402504,55,10.944000053405762,48.96
2019-06-24,46.32,48.6104162534078,51,9.504000091552735,39.96
2019-06-25,47.08,50.07374986012777,52,10.007999992370605,45
2019-06-26,43.01,47.27624988555908,51.53,10.800000047683715,59.04
2019-06-27,45.54,49.53083324432373,52.89,16.632000350952147,83.88
2019-06-28,50.55,51.94083325068156,53.69,14.976000022888183,64.08
2019-06-29,45.91,49.2641666730245,51.45,10.223999977111816,63
2019-06-30,42.84,46.70375029246012,53.88,12.168000030517579,60.84
2019-07-01,42.41,45.78666687011719,50.36,6.984000015258789,30.96
2019-07-02,40.66,48.94181823730469,53.77,6.408000016212464,38.88
2019-07-03,42.49,50.95208295186361,53.99,10.320000012715658,51.12
2019-07-04,47,53.06458377838135,55.08,11.520000076293945,59.04
2019-07-05,54,56.02374982833862,58,9.936000061035156,61.92
2019-07-06,44.87,51.78249994913737,58.08,12.239999961853027,54
2019-07-07,44.31,49.62291638056437,56.78,10.944000053405762,60.12
2019-07-08,40.17,51.15208292007446,57.69,7.7039999008178714,45
2019-07-09,47.7,52.47875006993612,55.62,12.744000053405761,51.12
2019-07-10,42.01,51.422499656677246,56.57,8.640000009536744,41.04
2019-07-11,49,53.995416482289635,57.08,16.46999979019165,74.88
2019-07-12,53.05,57.09458351135254,60.1,3.672000002861023,20.88
2019-07-13,46.6,51.311249574025474,58.21,9.647999954223632,48.96
2019-07-14,43,48.891250133514404,58.31,11.520000076293945,38.16
2019-07-15,42.89,52.363333543141685,57.31,11.069999933242798,42.84
2019-07-16,43.59,51.5016663869222,57.25,13.769999980926514,48.96
2019-07-17,45.63,52.67458359400431,57.31,13.5,46.08
2019-07-18,45.96,53.922499656677246,58.39,11.376000022888183,47.16
2019-07-19,47.07,52.463749726613365,57.17,10.655999946594239,38.88
2019-07-20,45,50.593749364217125,56.94,9.431999969482423,42.12
2019-07-21,43,49.30208285649618,57.69,12.455999946594238,45
